"admn_no";"student_id";"first_name";"last_name";"class";"section";"gender";"date_of_birth";"contact";"address";"blood_group";"date_of_join"
"A002";11101;"Aashir";"Khan";11;"A";"M";"2007-02-15";"91-8765432109";"654 Magnolia Lane, Chandigarh, Punjab, 160001";"O+";"2010-02-27"
"A004";11104;"Advay";"Srinivasan";11;"A";"M";"2007-07-29";"91-7305809615";"1234 Oak Road, Agra, Uttar pradesh, 282002";"A+";"2010-03-01"
"A007";11107;"Dhanush";"Sekar";11;"A";"M";"2006-07-12";"91-3210987654";"876 Oak Street, Surat, Gujarat, 395001";"A+";"2010-03-04"
"A008";11108;"Farah";"Ali";11;"B";"F";"2007-08-07";"91-2109876543";"345 Elm Road, Vadodara, Gujarat, 390001";"O+";"2010-03-05"
"A010";11110;"Illangobhan";"Lohith";11;"A";"M";"2007-10-22";"91-0987654321";"1233 Birch Avenue, Agra, Uttar Pradesh, 282001";"B+";"2010-03-07"
"A011";11111;"Jackson";"Isaac";11;"A";"M";"2006-11-04";"91-9901234567";"456 Sycamore Road, Nashik, Maharashtra, 422001";"O+";"2010-03-08"
"A012";11112;"Janakiraman";"Vishal";11;"A";"M";"2007-12-19";"91-9001234567";"789 Willow Street, Meerut, Uttar Pradesh, 250001";"O+";"2010-03-09"
"A013";11113;"Kajol";"Chauhan";11;"A";"F";"2006-01-09";"91-9012345678";"321 Redwood Avenue, Faridabad, Haryana, 121001";"B+";"2010-03-10"
"A014";11114;"Kalpalatha";"Sankalp";11;"A";"F";"2007-02-14";"91-9102345678";"654 Magnolia Lane, Rajkot, Gujarat, 360001";"B+";"2010-03-11"
"A015";11115;"Kohli";"Ravichander";11;"A";"M";"2006-03-21";"91-9123456789";"9876 Juniper Road, Amritsar, Punjab, 143001";"B+";"2010-03-12"
"A016";11116;"Maya";"Atwal";11;"A";"F";"2007-04-26";"91-9213456789";"5432 Walnut Avenue, Allahabad, Uttar Pradesh, 211001";"B+";"2010-03-13"
"A017";11117;"Netra";"Shivakumar";11;"A";"F";"2006-05-06";"91-9234567890";"8765 Chestnut Lane, Jamshedpur, Jharkhand, 831001";"A+";"2010-03-14"
"A018";11118;"Prem";"Rajagopalan";11;"A";"M";"2007-06-29";"91-9324567890";"2101 Cedar Road, Gwalior, Madhya Pradesh, 474001";"B+";"2010-03-15"
